sale_date,product_id,product_name,product_category,product_subcategory,unit_price,quantity_sold,sale_country,sale_city
2016-04-06,9584558,although,will,thousand,561.66,45,Saint Barthelemy,North Scotthaven
1978-08-20,6733259,need,executive,today,318.22,79,Angola,Millston
2021-05-07,9505017,door,account,soldier,219.82,34,Isle of Man,Port Lindsey
2010-05-18,9070008,seven,guy,detail,171.3,93,New Zealand,Hensleyhaven
1997-06-08,4553666,single,dream,environment,898.45,33,Taiwan,Aprilmouth
1970-05-14,9180125,able,imagine,take,583.99,17,Cocos (Keeling) Islands,Blackshire
2014-07-21,189251,mother,rule,firm,553.25,1,Faroe Islands,South Loriport
1996-07-11,9920946,doctor,sense,bank,345.91,7,Burkina Faso,Hansenstad
1998-08-10,9325623,store,project,after,739.91,56,Tonga,New Brendaberg
2022-08-31,2825542,discussion,end,material,262.03,80,Svalbard & Jan Mayen Islands,South Jenniferberg
2016-12-21,5374122,society,remain,record,121.66,56,South Africa,South Austin
2017-08-12,960882,their,one,least,699.25,98,Mali,Stephentown
2017-10-03,4001612,help,practice,decision,750.16,79,Netherlands,North Catherinefort
1993-04-19,6750618,ask,go,federal,412.98,46,Honduras,North Christinaland
2012-02-06,7833406,song,wall,success,643.06,69,Guam,North Amberburgh
1985-05-28,9355626,a,game,will,293.32,81,Benin,Andersonport
1987-01-10,6951662,claim,color,science,352.65,66,Ireland,North Jose
1995-08-14,2145078,how,task,professional,280.83,81,Cocos (Keeling) Islands,Lake Larrybury
1990-09-15,1857003,rate,operation,trial,528.41,53,Netherlands,Harrisside
1973-07-31,4810056,it,last,more,938.54,70,Fiji,Lake Drewfurt
1979-04-14,6485313,cold,wrong,staff,731.53,32,Albania,West Michael
2005-06-26,9068060,south,prove,response,794.39,98,Bermuda,New Carlashire
1978-01-13,5361766,join,behind,interest,723.92,10,Myanmar,Curtisbury
1997-10-25,2098426,assume,less,kid,745.71,37,United Kingdom,North Courtneyberg
2003-05-21,6773669,change,protect,accept,463.21,6,Haiti,West Tim
1971-12-27,2408875,before,great,both,703.31,56,Monaco,West Michael
2023-06-18,684075,simple,blood,resource,639.28,68,Papua New Guinea,Port Justin
1999-09-05,9104967,idea,herself,TV,442.14,47,Oman,Nelsonfort
1980-02-25,9886940,blue,wide,eat,398.47,45,Saint Vincent and the Grenadines,Guerrerohaven
1989-05-07,9361721,during,finish,large,988.2,67,Mali,Rebekahland
2022-05-23,2580047,situation,degree,just,26.28,64,Sierra Leone,Robertport
2002-10-24,5327696,help,personal,of,384.12,100,Armenia,Lake Rhondahaven
2001-12-12,6048747,idea,ten,could,53.65,22,Saudi Arabia,Mollyfurt
1998-09-15,5854591,first,minute,strong,596.4,93,Sweden,Lake Matthew
1981-02-10,6470583,ten,modern,finally,10.36,67,Ukraine,Port Tammy
1985-03-09,4366795,feeling,relate,political,318.36,84,Belize,South Tomburgh
1986-03-26,3851909,water,town,general,398.32,13,China,West Brian
1986-05-21,442250,key,stand,ask,57.5,89,Myanmar,Lake Kirk
1976-04-24,7992058,consumer,specific,sign,268.05,84,Armenia,West Michaelfurt
1986-07-27,6338983,policy,end,off,308.27,64,Georgia,North Summer
1970-02-03,4753589,road,claim,end,427.05,36,United States of America,Lake Rebeccastad
2010-07-30,3308989,degree,age,friend,803.71,7,Venezuela,New Kaitlin
1974-09-20,3033394,significant,government,pass,988.25,89,United States of America,West Judy
2005-09-18,601415,eight,board,the,530.78,83,United States Minor Outlying Islands,South Carlos
1987-03-25,5162934,mention,although,important,310.05,39,Papua New Guinea,Zacharytown
1999-08-07,9619188,boy,candidate,education,428.48,29,Iceland,Scottside
2003-01-14,6431627,event,important,compare,805.4,31,Tunisia,Jessicastad
1996-10-08,2333139,young,their,analysis,139.66,14,Malawi,Lisaport
1995-01-28,9683128,along,institution,arm,199.68,49,North Macedonia,Cynthiaville
2005-04-20,3325722,culture,relate,have,914.68,39,Tunisia,Sandersland
2008-05-12,4122098,prove,never,side,153.76,33,Bhutan,Port Ricardo
2003-08-23,9286804,deep,job,partner,453.78,22,Nigeria,Whitefort
2014-12-12,595687,could,some,look,459.9,11,United States Minor Outlying Islands,South Amy
1998-12-22,8137535,body,ball,research,524.45,35,Croatia,Michaelchester
1972-05-31,7095708,ago,believe,fund,323.21,27,United Arab Emirates,North Stevenville
1993-09-05,838401,way,color,Democrat,52.88,79,Mauritania,Lake Kimberly
1978-07-22,8031038,commercial,capital,agency,44.97,64,Estonia,Shannonstad
2001-10-26,9953290,never,level,bank,703.64,56,Puerto Rico,Kimberlyburgh
1990-09-21,9683097,cold,scientist,gun,345.36,55,Lesotho,Darrellland
1994-08-14,2161562,include,open,argue,94.59,57,Falkland Islands (Malvinas),Christophermouth
2012-10-24,7910479,beyond,letter,consumer,492.52,3,Mongolia,Thomasburgh
1990-06-09,6378875,card,this,including,493.18,49,Barbados,Evansfort
2011-05-05,8052102,personal,political,coach,181.31,21,Rwanda,North Vernonburgh
1991-11-29,5052126,recent,identify,buy,826.65,91,Ethiopia,East Carlachester
2018-07-11,8864943,whatever,person,road,831.92,36,Bosnia and Herzegovina,East Donnastad
1983-12-29,5563341,new,scene,expert,11.52,39,North Macedonia,Port Kelly
1997-04-06,5852863,front,media,book,276.75,79,Japan,South Davidburgh
1982-06-24,4721403,wrong,feel,process,718.78,55,Croatia,New Evelyn
1976-10-13,4316744,real,still,crime,819.39,56,Maldives,Montoyabury
2023-05-25,5779851,seek,old,general,942.99,31,Japan,Michellestad
2014-10-01,2964391,affect,much,as,743.53,49,Vietnam,Port Michael
1996-06-19,4700654,we,operation,short,33.74,66,British Virgin Islands,Stevenburgh
2004-10-28,5314490,deep,foreign,often,781.76,43,Yemen,Jonestown
1970-06-10,2389244,western,body,world,798.12,24,Belize,Josephland
1976-12-29,3932381,street,first,try,781.85,84,Jamaica,West Nicole
1977-04-26,8069038,maintain,pressure,would,861.92,87,United States Virgin Islands,Port Juan
1976-12-18,3879769,myself,turn,add,312.34,26,Palau,West Jamesmouth
1988-02-14,8859767,onto,home,although,29.68,90,United Kingdom,Amandamouth
2002-08-21,6724168,population,indicate,rock,579.62,58,Honduras,Port Williamchester
1985-12-10,5059986,many,center,factor,121.59,93,Panama,Webbfurt
2004-06-18,119672,ten,local,subject,890.29,87,Czech Republic,Port Janet
2018-01-13,6416726,future,radio,real,121.37,65,Nepal,South Brittanyville
2004-03-17,6325121,entire,include,space,753.6,98,Qatar,Port Elizabeth
2006-06-06,6675790,Democrat,decide,situation,563.41,5,Syrian Arab Republic,Jacksonmouth
2018-07-22,3974686,understand,force,leader,581.81,68,Heard Island and McDonald Islands,East Brendamouth
1998-01-09,8203167,half,need,source,157.63,85,Rwanda,Jamesstad
1981-11-06,6401302,probably,meet,travel,424.76,35,Mexico,Port Sabrinaport
2003-03-08,6971439,certainly,remember,operation,507.79,75,Malawi,Coryhaven
1993-10-01,1285111,education,read,whatever,790.07,53,Tajikistan,West Stephanie
1973-06-04,8071095,his,room,security,561.48,35,Bermuda,South Sharon
2005-05-22,4884158,special,window,future,342.58,37,Timor-Leste,Jaredbury
1987-01-12,1822467,outside,blood,nothing,199.72,86,Niue,East Kennethhaven
1976-10-23,343622,whole,after,raise,523.46,75,Samoa,Lake Logan
1991-03-25,3242840,ball,catch,write,634.3,62,Benin,Port Danielle
2003-10-24,5670346,industry,member,international,203.6,23,Antarctica (the territory South of 60 deg S),Port Jackview
2023-02-12,3810573,black,interest,next,437.52,38,United States Virgin Islands,West Carrie
2002-12-05,8578087,decade,wait,your,114.63,91,Iraq,North Christopherberg
1976-01-15,7235061,local,write,national,375.64,4,Ghana,Port Rachelfurt
1983-10-12,5454137,until,account,any,900.05,42,Italy,West Oliviastad
1993-12-23,9876098,want,rule,every,73.36,98,San Marino,Port Leonardfort
1995-12-21,2364573,ten,begin,every,794.12,89,Fiji,Schneiderfurt
2022-10-28,6708232,my,figure,professor,789.03,76,Guyana,Caseyshire
1970-05-05,2239133,everything,maybe,tax,998.5,39,Azerbaijan,Port Kevin
1991-08-16,9877131,art,myself,they,761.26,1,Venezuela,Kathleenbury
1996-12-20,6812750,there,also,cell,520.94,89,United States Virgin Islands,East Natasha
1992-06-24,3544796,party,skill,line,63.87,88,Bahrain,New Karen
1981-09-12,3614262,from,often,section,276.74,24,Bangladesh,Garrettbury
1977-08-17,9973863,weight,that,dark,876.53,94,Kenya,West Patrick
2021-02-24,8560597,however,become,old,935.54,35,Croatia,Shaneshire
1997-08-11,9822691,big,husband,suffer,42.94,70,Montserrat,Lake Alexandrashire
1991-08-31,5959280,mouth,music,month,284.83,52,Niue,South Angela
2010-02-01,1257676,history,else,identify,11.66,78,Lesotho,South Matthewchester
2002-07-24,6932401,unit,market,law,412.72,37,Sri Lanka,Bradfordberg
2021-10-13,7420039,offer,specific,partner,964.88,21,Slovenia,West Alexander
2021-04-16,7511855,door,remain,adult,623.62,30,United Kingdom,East John
1990-12-12,8353941,teacher,report,forget,184.25,71,Italy,Kimberlyville
2022-05-19,6098933,indicate,study,conference,89.02,55,Cocos (Keeling) Islands,North Davidfort
1975-12-18,456609,land,book,serious,513.09,29,Burundi,Tuckerland
2008-03-29,1467030,step,somebody,before,719.26,83,New Zealand,Dianeburgh
2001-10-27,8388149,character,training,thought,683.05,77,Tokelau,Timothyfurt
1984-06-17,243671,network,perform,century,811.47,32,Iran,Davieston
1994-07-07,3906699,support,would,heavy,666.53,23,Iraq,South Arthurtown
2000-07-11,377850,feeling,article,accept,628.13,12,Svalbard & Jan Mayen Islands,East Charles
1978-10-11,6988608,card,political,book,689.86,20,Lebanon,East Lynn
2010-06-19,8432388,major,few,again,97.32,90,Saint Vincent and the Grenadines,South Bradleybury
2011-12-28,919049,thousand,allow,arm,39.34,80,Gambia,East Georgetown
1993-11-02,8145818,plant,experience,price,124.45,24,South Georgia and the South Sandwich Islands,Clarkton
2020-01-13,9081986,artist,employee,over,114.86,92,Mozambique,New Charlottechester
1992-06-04,5641987,not,inside,or,417.69,23,Holy See (Vatican City State),Davisfurt
1972-11-14,4873983,process,necessary,son,617.33,55,Slovakia (Slovak Republic),Alvarezview
2015-05-11,5346201,wear,choice,challenge,302.75,70,Norway,Grossville
2018-05-13,3438742,tree,force,cut,209.6,9,Taiwan,South Rodneyburgh
1989-11-17,1639152,mention,put,choose,827.23,99,Trinidad and Tobago,Bettyview
1984-12-27,6728010,table,new,hour,994.58,46,Costa Rica,New Olivia
1977-09-22,6589749,five,four,final,817.64,61,Saint Lucia,Port Nicoleton
2001-01-21,3307307,customer,common,area,135.98,29,Sierra Leone,Allenton
2008-04-28,7726957,pattern,conference,rule,189.23,28,Afghanistan,East Robertland
2013-10-11,5150859,standard,wrong,friend,341.42,58,Netherlands,New Amyland
2011-05-29,9218827,special,when,last,334.22,22,Turkmenistan,Millerville
1998-06-13,5370778,cut,political,performance,123.74,9,Benin,Lake Lancemouth
1981-07-28,7126999,current,week,practice,636.16,66,Bangladesh,Wilsonville
2007-06-13,3036349,way,some,Mrs,33.16,47,Fiji,Elizabethton
1971-11-02,5208534,and,change,improve,594.54,24,United States of America,South Kim
2010-05-28,8238604,likely,science,newspaper,66.5,5,Dominican Republic,New Jeffreyfurt
1971-08-07,1370136,month,how,know,422.59,22,Saint Kitts and Nevis,Myersborough
2003-01-22,9772556,brother,itself,resource,616.16,79,Portugal,Moranport
1976-06-28,4962532,model,under,produce,175.0,60,Turkey,West Lawrence
2012-06-25,9764942,ask,carry,fight,509.06,17,Liechtenstein,East Nathan
1976-08-22,4123005,throw,gas,if,83.9,1,Luxembourg,West Alexanderchester
1974-04-04,7196313,goal,so,husband,102.99,26,Saint Lucia,Lake Sabrinashire
1981-04-11,5460789,remain,perform,manager,839.15,92,Canada,South Joshua
2018-03-23,6711211,participant,down,learn,165.6,41,Mongolia,Pearsonhaven
